stop_id,stop_name
319,Shelter Rock Front Of Ems
320,Fairfield Avenue Front Of 67 South Street
321,Front Of South Street School
322,Front Of Kimberly Place
323,Front Of Danbury Commons
324,Park Place Front Of Juvenile Courthouse
325,Center Street
326,Liberty Street Front Of Family Dollar Store
327,West Street 100 Feet North Of West Street
328,Deer Hill Avenue Front Of Lighthouse Ministries
329,Wooster Street Front Of 80 Main Street
330,Elmwood Place In Front Of 50 Main Street
331,Opposite Kimberly Place
332,South Street 80 Feet South Of South Street
333,Rogers Park Jhs 5 Feet North Of Access Drive
334,Dead End Glen Apartments
335,South Street Near The Memorial
336,Opposite South Street School
337,Fairfield Avenue 30 Feet East Of Fairfield Avenue
338,Liberty Avenue 40 Feet East Of Liberty Avenue
339,High Street Extension 30 Feet North Of High Street Extension
340,Front Of 28 South Street
341,Front Of 14 South Street
342,Kimberly Commons
343,Street Front Of Timber Oaks Condos
344,Street Front Of Dunkin Donuts
345,Hill Road South Street Front Of 23 Coal Pit Hill Road
346,Hill Road Rocky Glen Road Front Of Park Side South Condos
347,Hill Road Opposite Putnam Drive
348,Hill Road Opposite Spring Ridge Condos
349,Hudson Street Front Of 31 Fleetwood Avenue
350,Grassy Plain Street 125 Feet North Of Grassy Plain
351,Street Drummers Lane 20 Feet North Of Drummers Lane
352,Street Reservoir Street Grassy Plain Estates
353,Street Cherry Lane In Front Of 141 Grassy Plain Street Barzetti S Welding
354,Street Second Lane 5 Feet South Of Second Lane
355,Cl 2Nd Lane Front Of 5 Francis Clarke Cl
356,Cl Front Of 13 Francis Clark Cl
357,Cl Front Of 19 Francis Clarke Cl
358,Cl Trowbridge Drive 15 Feet West Of Trowbridge Dr
359,Cl End Of Loop Front Of Bethel Power Equipment
360,Street Front Of New England Propane
361,Street Front Of 146 Grassy Plain Street
362,Street Front Of 138 Grassy Plain Street
363,Street South Street 150 South Of South Street
364,Grassy Plain Street Front Of Sycamore Diner
365,Opposite Burger King
366,Blackman Street 25 Feet West Of Blackman Street
367,South Street Shepard S Inc Facility
368,Front Of Greenwood Plaza
369,School Street 35 Feet North Of School Street
370,Durant Avenue Bethel Senior Center
371,Front Of 15 Durant Avenue
372,Durant Avenue Front Of 5 Simeon Road
373,At Bench Front Of 15 Simeon Road
374,Durant Avenue Front Of 45 Simeon Road
375,Front Of Bethel Post Office
376,Pt Barnum Plaza
377,Front Of Caraluzzi S
378,Front Of 72 Greenwood Avenue
379,Topstone Drive In Front Of 44 Greenwood Avenue
380,Andrews Street 15 Feet West Of Andrews Street
381,Milwaukee Avenue 40 Feet West Of Milwaukee Avenue
382,Midway Drive 10 Feet East Of Midway Drive
383,Milwaukee Av Front Of 5 Judd Avenue
384,Whittlesey Drive 20 Feet South Of Whittlesey
385,Along Bethel H S Football Field
386,Simeon Village
387,Reynolds Ridge
388,Francis Clarke Industrial Park
389,Roger S Park
390,Henry Street And Shepard S
391,Blvd Willow Pond Road At Jensen Park Entrance
392,Blvd Kenosia Park Fields
393,At Kenosia Lake Boat Launch
394,Boulevard Drive 100 Feet North Of Boulevard Drive
395,Ye Olde Road 25 Feet North Of Ye Olde Road
396,Backus Avenue 51 Kenosia Avenue
397,Kenosia Avenue
398,Opposite Chuck S Steakhouse
399,Lake Avenue 200 Feet South Of Lake Avenue
400,Hobson Street 40 Feet East Of Hobson Street
401,South Well Avenue 50 Feet West Of South Well Avenue
402,Crofut Street 30 Feet East Of Crofut Street
403,Benedict Avenue Front Of 152 West Street El Dorado
404,Opposite Salame Plaza
405,Division Street 100 West Street
406,William Street 54 West Street
407,Montgomery Street Front Of 65 West Street
408,Park Avenue Front Of 54 Division Street
409,Harding Place Front Of 11 Park Avenue
410,Dibble Street Front Of 28 Park Avenue
411,Front Of Summitt Park West Condos
412,Front Of Pinewood Circle
413,West Wooster Street Park Av And West Wooster
414,Street Ohehyahtah Place 15 Feet West Of Ohehyatah Place
415,Street Front Of Crosby Manor
416,Street Jefferson Avenue 40 Feet West Of Jefferson Avenue
417,Street Front Of Wooster Manor
418,Spruce Street 20 Feet South Of East Pearl Street
419,Dr Aaron Samuels Blvd 30 Ft South Aaron Samuels Blvd
420,Park Avenue At U Haul Near Telephone Pole Structure
421,Front Of 93 West Street
422,Beaver Street At Salame Plaza
423,Westville Avenue Front Of 11 Lake Avenue
424,Well Avenue Front Of 33 Lake Avenue
425,Haddad Drive O Brien S Restaurant
426,Mill Ridge Road Opposite 2 Mill Ridge Road
427,Mill Ridge Road Front Of 17 Mill Ridge Road
428,Mill Ridge Road Front Of 35 High Ridge
429,Mill Ridge Road Front Of 2 Mill Ridge Road
430,At Chuck S Steakhouse
431,Road Whole Foods Market
432,Danbury Fair Mall
433,Barnes And Noble In Danbury Square Mall
434,Backus Avenue 500 Feet North Of Backus Avenue
435,Ye Olde Road 44 Kenosia Avenue
436,Apple Ridge Road Cartus
437,Precision Road At Intersection
438,Precision Road 22 Kenosia Avenue
439,Boulevard Drive 125 Feet North Of Boulevard Drive
440,Opposite Kenosia Lake Boat Launch
441,Blvd Opposite Kenosia Park Fields
442,Kenosia And Backus
443,Lake Avenue And S Well Avenue
444,Park And W Wooster
445,Wooster Manor
446,West Street And Main Street
447,Shake Shack Shelter
448,Whole Foods
449,Danbury Square Mall
450,Lane Road Belair Drive Bel Air Condos
451,Lane Road Avery Road 20 Feet North Of Dunkin Donuts
452,Lane Road Carlson S Ridge Road Opposite Amanda Rose Beauty
453,Lane Road Park Lane West Road 15 Feet North Of Before Park Lane W
454,Lane Road Opposite 24 Park Lane At Pond Animal Hospital
455,Street Front Of New Milford Police
456,Street Hill Drive Hillside Apts
457,Milford Elm Street Extension Poplar Street Flag Stops Butterbrook Deviation
458,Milford Butterbrook Hill Road Brookside Avenue Butterbrook Hill Apts
459,Street Main Street Front Of New Milford Hospital
460,Street Bridge Street Front Of Post Office
461,Street Nicholas Pl Front Of 47 Bridge Street New Milford Parks And Rec
462,Street Young S Field Dr 15 Feet East Of Before Young S Field Road
463,Road Peagler Hill Road Front Of Dunkin Donuts
464,Road Sunny Valley Road Front Of Mcdonalds
465,Road Pickett District Front Of United Methodist Church
466,Road 150 South Of Home Depot
467,Road Sunny Valley Road Front Of 132 Danbury Road
468,Road Front Of Monro Muffler 150 Danbury Road
469,Road Front Of Super Stop And Shop Inside Lot
470,Road Front Of Mercury Gas Station 222 Danbury Road
471,Road Old State Road Front Of Willow Springs
472,Road Old State Road Far Side Of Intersection
473,Road Sullivan Road Opposite Wetmore S Chrysler
474,Road Front Of Dunkin Donuts 370 Danbury Road
475,Road Larson Road Front Of New Milford High School 388 Danbury Road
476,Road Opposite Valmar Drivefront Of Candlewood Condos Opposite Valmar Drive
477,Road Opposite Cross Road Elephant S Trunk Flea Mkt
478,Road Front Of Aldine Metal 566 Danbury Road
479,Road Front Of Faith Church 600 Danbury Road
480,Front Of Newbury Inn 1030 Federal Road
481,Front Of 1000 Federal Road Next To Utility Pole
482,Front Of 934 Federal Road
483,Front Of Brookfield Lanes 840 Federal Road
484,Station Road Dunkin Donuts
485,Old Federal Road Nearside Of Intersection
486,Laurel Hill Road 25 Ft N Of 1 Laurel Hill Road Front Of Brkfld Pharmacy
487,Front Of 632 Federal Road
488,Flag Stops Between Silvermine And Junction Roads Until New Bus Stops Are Approved
489,Federal Road 150 Feet East Of Federal Road 115 Silvermine Road
490,Still River Greenway Trailhead
491,Front Of Mcmullin Mfg 70 Pocono Road
492,Front Of Astra Lite 20 Pocono Road
493,Pocono Road Opposite Commerce Drive Before The Route 7 Overpass
494,Federal Road Opp First Assmbly Of God Church 133 Junction Road
495,Milford Road Huckleberry Hill Intersection Old New Milford Huckleberry Hill Road
496,Rollingwood Condos Entrfarnocnet Of 270 Federal Road
497,Costco Entrance 100 Feet South Of Costco Entr
498,Beverly Drive Front Of Moe S Southwestern Grill 174 Federal Road
499,Front Of 132 Federal Road Plaza Next To Sunoco Gas Station
500,Front Of Party Depot
501,Front Of Widow Brown S
502,Front Of Pc Richards Pc Richards
503,Eagle Road Extension Front Of Quality Inn
504,Front Of Fair Auto Park
505,Swanson Road South Of Mercedes Benz
506,Front Of Hart Operations
507,Morgan Street Front Of 62 Federal Road
508,Front Of United Rentals 32 Federal Road
509,Front Of Waterware 30A Federal Road
510,White Street Front Of Dance Studio 10 Federal Road
511,Locust Avenue 20Ft East Of Motorworks
512,Eighth Street 35 Feet West Of Eighth Street
513,Fifth Street Front Of Wcsu White Hall
514,Moss Avenue 141 White Street
515,Dr White Street 60 Feet North Of White Street Near Papa John S Pizza
516,National Lane On Light Post Before Meeker Hardware
517,Front Of Leahy S
518,Front Of Hoffman Fuel
519,Eighth Street Front Of 206 White Street
520,Wildman Street Opposite Motorworks
521,White Street Opposite Levine Automotive
522,Opposite United Rental
523,Morgan Avenue Front Of Mitchell Oil
524,Opposite Hart Garage
525,Swanson Road Opposite Mercedes Benz
526,Starr Road Opposite Honda
527,Eagle Road Extension Opposite Enterprise
528,Nabby Road Front Of Toyota Dealership
529,End Of Stew Leonard S Inside Lot
530,North Access Drive Of Stew35 L Feeoent Aprads Street First Entrance
531,Stew Leonard S Access Dfrirvoent Of Salsa Fresca Robek S Smoothies
532,Front Of Pizza Hut
533,White Turkey Road Front Of Town Fair Tire
534,Front Of Tj Maxx Cvs
535,Front Of 121 Federal Road 5 Guys
536,Front Of Shop Rite
537,Front Of Lazboy Furniture Jersey Mike S Subs
538,Del Mar Drive Front Of 355 Federal Road
539,Federal Road At First Assembly Of God Church
540,Commerce Drive 20 Feet West Of Commerce Drive
541,Front Of 91 Commerce Drive
542,Front Of 61 Commerce Dr
543,Front Of Greentree Serv Center
544,Opposite Mcmullin Mfg Corp
545,Opposite Mcmullin Mfg 70 Pocono Road
546,Pocono Road Municipal Center Lot
547,Front Of Post Office
548,Dean Road 40 Feet East Of Dean Road
549,Federal Road 200 Feet East Of Federal Road
550,Front Of 595 Federal Road
551,Opposite Laurel Hill Road 731 Federal Road
552,Front Of Panchos And Gringos 779 Federal Road
553,Federal Road Front Of 10 Station Road
554,Laurel Hill Road Opposite Aldine Metal
555,Road No Mountain Road 10 Feet South Of North Mountain
556,Of Brooks Quarry Apt 3
557,Road North Mountain Road Opposite N Mountain Road 109 Laurel Hill Road
558,Federal Road 27 Station Road
559,Opposite Brookfield Lanes
560,Opposite Inland Water Sports
561,Opposite 1000 Federal Road By I 95 Radio
562,Opposite Newbury Inn 1055 Federal Road
563,Road Opposite Nm Block And Supply
564,Road Front Of 507 Danbury Road 1St And 10 Sports Bar
565,Road Cross Road 493 Danbury Road
566,Road Opposite Candlewood Condos 461 Danbury Road Valmar Drive
567,Road Opposite 338 Danbury Road New Milford High School
568,Road Opposite 370 Danbury Road Dunkin Donuts
569,Road Sullivan Road Front Of Wetmore S Chrysler
570,Road Opposite Old State Road
571,Road Opposite Willow Springs By Royal Cigs
572,Road 223 Danbury Road
573,Road Cedar Knolls Road Opposite Blue Bonnett Knoll
574,Inside Lot Front Of Super Stop N Shop
575,Road Dodd Road Front Of Modzelewski S
576,Road Front Of Lore S Plaza
577,Road Royal Car Wash
578,Road Pickett District 150 Feet South Of Pickett District
579,District Danbury Road Pettibone Community Center
580,Valley Road Danbury Road 100 Feet West Of Danbury Road
581,Valley Road N A Flag Stops In Effect For Sv Loop
582,Valley Road Danbury Road 125 Feet West Of Danbury Road
583,Road 33 Danbury Road
584,Road 25 Danbury Road Oddfellows
585,Road Bridge Street 5 Danbury Road
586,Street Spring Street At Corner Of Spring Street Bridge Street Intersection
587,Street South Main Street Front Of 44 Bridge Street
588,Street Church Street Front Of Town Hall
589,Street Elm Street North Of Senior Center Before Stop Sign Atop Main Street N
590,Street 20 Elm Street
591,Street Elm Street Opposite Hill Drive
592,Lane Road Front Of 4 Park Lane Road
593,Lane Road 33 Park Lane
594,Lane Road Park Lane West Opposite Park Lane West
595,Lane Road Front Of Park Lane Plaza
596,Park Lane N A Flag Stops In Effect
597,Federal Road And White Street
598,Commerce Drive
599,Sunny Valley
600,Butter Brook
601,Municipal Center
602,Shop Rite
603,120 Park Ln
604,Village Green
605,Stop And Shop
606,Four Corners
607,Old N M Road Huckleberry Hill Road
608,New Milford High School
609,Walmart And Stop And Shop
610,New Milford Green
611,Community Center
612,Depart From Mall
613,Square Mall
614,Mill Plain Kenosia
615,Mcdonalds
616,Lake And Well
617,Main And West
618,W Wooster Park
619,Ethan Allen
620,Exit 2
621,Kenosia Lake Avenue Extension
622,Arrive Mall
623,Kohl S
624,Candlewood Plaza
625,Federal Road White Street
626,120 Park Lane
627,Walmart
